Invoice Number,Invoice Date,Payment Terms,Invoice Currency,Company Name,Line Number,Item Name,Quantity,Amount,Total Amount,VAT,Invoice Amount
CC4311,09-Feb-2020,36,INR,Aimbo,1,"Ice - Clear, 300 Lb For Carving",2,1487,2974,20,3568.8
AA1444,08-Mar-2021,83,INR,Mymm,1,Dried Cherries,1,2515,2515,20,3018
CA3441,06-Feb-2021,44,INR,Tambee,1,Cognac - Courvaisier,9,2487,22383,20,26859.6
BA1143,13-Aug-2020,56,INR,Twitterworks,1,"Tortillas - Flour, 12",2,2631,5262,20,6314.4
CC3141,06-Sep-2020,87,INR,Voomm,1,Lumpfish Black,4,2993,11972,20,14366.4
AA4134,11-May-2020,61,INR,Jayo,1,Pie Box - Cello Window 2.5,5,2968,14840,20,17808
CC4324,06-Jan-2021,39,INR,Buzzster,1,Chicken - Whole,2,311,622,20,746.4
CB4234,11-Jun-2020,24,INR,Cogilith,1,"Bread - Pumpernickle, Rounds",5,857,4285,20,5142
CC4443,29-Dec-2020,64,INR,Ntags,1,Garam Masala Powder,6,676,4056,20,4867.2
CC4414,08-Sep-2020,28,INR,Livetube,1,Filter - Coffee,4,876,3504,20,4204.8
AC2142,13-Apr-2020,89,INR,Buzzbean,1,"Chicken - White Meat, No Tender",7,1022,7154,20,8584.8
BA1144,22-Mar-2020,59,INR,Skinder,1,"Mushrooms - Black, Dried",1,610,610,20,732
BB4334,31-Mar-2020,74,INR,Yozio,1,Wine - Ruffino Chianti Classico,7,1110,7770,20,9324
BA3332,04-May-2020,41,INR,Rhyzio,1,"Wine - White, Ej Gallo",9,2728,24552,20,29462.4
BB3123,18-Mar-2021,54,INR,Plajo,1,Oven Mitts - 15 Inch,6,1707,10242,20,12290.4
BC4121,11-Dec-2020,25,INR,Pixoboo,1,Wine - Tribal Sauvignon,10,760,7600,20,9120
CC3434,23-Feb-2020,48,INR,Thoughtsphere,1,Pie Shells 10,4,2331,9324,20,11188.8
CC3444,16-Feb-2020,9,INR,Avamm,1,Sauce - Chili,3,2407,7221,20,8665.2
CA2443,17-Aug-2020,74,INR,Trilith,1,Pop - Club Soda Can,1,2775,2775,20,3330
CC4344,12-Aug-2020,67,INR,Yodo,1,"Bread - Roll, Canadian Dinner",8,930,7440,20,8928
BA4434,19-May-2020,44,INR,Jabberstorm,1,Loquat,8,237,1896,20,2275.2
AB3244,23-Feb-2020,27,INR,Devshare,1,"Soup - Campbells, Cream Of",7,2702,18914,20,22696.8
CC1444,02-Jul-2020,43,INR,Ntags,1,"Beans - Navy, Dry",6,1115,6690,20,8028
CA4142,05-May-2020,55,INR,Muxo,1,Wine - Fino Tio Pepe Gonzalez,4,977,3908,20,4689.6
CB2323,13-Oct-2020,90,INR,Yodoo,1,Shichimi Togarashi Peppeers,10,2924,29240,20,35088
AA2334,24-Aug-2020,10,INR,Bubblebox,1,Uniform Linen Charge,4,2616,10464,20,12556.8
AB1244,22-Mar-2020,50,INR,Quimba,1,"Wine - Mas Chicet Rose, Vintage",3,1867,5601,20,6721.2
AC4241,12-Jan-2020,82,INR,Ainyx,1,Dasheen,9,500,4500,20,5400
BC4413,02-Sep-2020,7,INR,Plambee,1,Wine - Valpolicella Masi,1,1778,1778,20,2133.6
CA4433,24-Jun-2020,8,INR,Mynte,1,Cassis,1,2914,2914,20,3496.8
CC3432,04-Apr-2020,32,INR,Edgeblab,1,"Cheese - Woolwich Goat, Log",4,1694,6776,20,8131.2
CA3434,11-Apr-2020,77,INR,Photobean,1,Muffin - Carrot Individual Wrap,2,2049,4098,20,4917.6
CC4444,06-Feb-2021,68,INR,Oyoloo,1,Orange - Tangerine,3,2942,8826,20,10591.2
CA1331,10-Nov-2020,11,INR,Camimbo,1,Trout - Smoked,5,863,4315,20,5178
CA4442,29-Jan-2021,54,INR,Quamba,1,"Pepper - Paprika, Spanish",6,541,3246,20,3895.2
CC2444,11-Feb-2020,84,INR,Abatz,1,Pepper - Orange,4,2726,10904,20,13084.8
CA2142,24-Sep-2020,35,INR,Flashspan,1,Ham - Cooked Bayonne Tinned,10,2002,20020,20,24024
BC1123,26-Nov-2020,68,INR,Zoomzone,1,Bread - Hot Dog Buns,3,2109,6327,20,7592.4
AC3434,30-Jul-2020,82,INR,Zoozzy,1,Honey - Lavender,4,548,2192,20,2630.4
CB3444,03-Feb-2020,57,INR,Ainyx,1,Lettuce - Arugula,3,2271,6813,20,8175.6
CC3334,14-Mar-2021,54,INR,Brightdog,1,Port - 74 Brights,5,2580,12900,20,15480
CC2444,22-Jan-2020,54,INR,Izio,1,Asparagus - Mexican,4,2682,10728,20,12873.6
BB3314,24-Mar-2021,7,INR,Zoonoodle,1,Nantuket Peach Orange,7,979,6853,20,8223.6
AB3431,01-Sep-2020,71,INR,Katz,1,"Wine - Red, Concha Y Toro",8,372,2976,20,3571.2
CC4441,28-Mar-2021,59,INR,Quaxo,1,Cheese - Cheddarsliced,6,1058,6348,20,7617.6
AC2334,19-Aug-2020,85,INR,Trupe,1,"Chicken - Thigh, Bone In",10,327,3270,20,3924
CC3124,08-Apr-2020,7,INR,Jaxnation,1,Icecream - Dstk Super Cone,4,2620,10480,20,12576
CC1434,14-Mar-2020,15,INR,Kwilith,1,Wine - Ice Wine,2,301,602,20,722.4
BA3442,06-Feb-2020,16,INR,Roomm,1,Wine - Beringer Founders Estate,9,1825,16425,20,19710
CC4444,07-Aug-2020,9,INR,Wordpedia,1,Pork - Caul Fat,1,1394,1394,20,1672.8
AA3444,25-May-2020,58,INR,Devcast,1,"Salt - Rock, Course",3,1809,5427,20,6512.4
CC3443,14-Oct-2020,46,INR,Quimba,1,Blueberries - Frozen,10,257,2570,20,3084
CC3414,26-Nov-2020,64,INR,Divavu,1,Bread - Calabrese Baguette,2,764,1528,20,1833.6
AB4444,13-Nov-2020,12,INR,Wikibox,1,Pancetta,6,2380,14280,20,17136
CC2332,24-Mar-2020,72,INR,Ntag,1,Huck Towels White,4,2622,10488,20,12585.6
CC3344,24-Sep-2020,81,INR,Yodel,1,Whmis Spray Bottle Graduated,10,2438,24380,20,29256
BC4244,21-Feb-2021,73,INR,Mydo,1,Soup - Boston Clam Chowder,4,310,1240,20,1488
BC3334,07-Feb-2021,59,INR,Reallinks,1,"Dill - Primerba, Paste",5,1093,5465,20,6558
CB3124,18-Mar-2020,40,INR,Skinte,1,Steel Wool,2,2526,5052,20,6062.4
AA3241,11-Mar-2020,46,INR,Blogtags,1,Cheese - St. Paulin,5,1931,9655,20,11586
CC4241,07-Jul-2020,56,INR,Yodo,1,Red Cod Fillets - 225g,4,984,3936,20,4723.2
CA4434,11-Jan-2020,80,INR,Skiba,1,Wheat - Soft Kernal Of Wheat,8,708,5664,20,6796.8
CA4243,18-Feb-2021,68,INR,Oyoba,1,Veal - Heart,7,2634,18438,20,22125.6
CB3233,16-Feb-2021,33,INR,Linkbridge,1,Assorted Desserts,3,1534,4602,20,5522.4
AB3444,18-Apr-2020,18,INR,Jabbertype,1,Kumquat,4,690,2760,20,3312
CA4414,05-Apr-2020,68,INR,Tagfeed,1,Raspberries - Fresh,2,2850,5700,20,6840
AB3314,11-Mar-2021,49,INR,Nlounge,1,Eggplant Oriental,3,950,2850,20,3420
CA4321,22-Jul-2020,15,INR,Cogilith,1,Wine - Beringer Founders Estate,4,287,1148,20,1377.6
AA1424,30-Jun-2020,82,INR,Flashset,1,The Pop Shoppe - Grape,8,2608,20864,20,25036.8
BC3433,24-Jun-2020,9,INR,Dynabox,1,Potatoes - Peeled,2,2642,5284,20,6340.8
CA3441,22-Sep-2020,79,INR,Skiba,1,"Salmon - Atlantic, Skin On",1,2905,2905,20,3486
CC4442,13-Jan-2020,53,INR,Eazzy,1,Sugar - Palm,7,2032,14224,20,17068.8
BC3143,18-Feb-2020,19,INR,Edgeify,1,"Radish - Black, Winter, Organic",4,2144,8576,20,10291.2
BB1123,11-Apr-2020,11,INR,Jaxnation,1,Sauce - Soy Low Sodium - 3.87l,6,658,3948,20,4737.6
BB2434,27-Jan-2021,13,INR,Pixoboo,1,Nacho Chips,4,662,2648,20,3177.6
BA4414,30-Jan-2020,81,INR,Photobean,1,Sea Bass - Fillets,1,2587,2587,20,3104.4
CC4114,24-Jun-2020,33,INR,Avaveo,1,Beans - Wax,10,828,8280,20,9936
AA4143,29-Mar-2020,49,INR,Edgepulse,1,Anchovy Paste - 56 G Tube,1,1374,1374,20,1648.8
CC2343,05-Aug-2020,31,INR,Topicblab,1,Ham - Black Forest,3,1753,5259,20,6310.8
BB4222,18-Feb-2020,87,INR,Gigabox,1,Caviar - Salmon,10,1146,11460,20,13752
AB3123,16-Aug-2020,27,INR,Leexo,1,Rice - Aborio,4,516,2064,20,2476.8
CA4343,13-Aug-2020,75,INR,Pixonyx,1,Flour Dark Rye,7,876,6132,20,7358.4
CC3444,04-Aug-2020,73,INR,Edgewire,1,Guava,3,587,1761,20,2113.2
BC1434,23-Mar-2020,23,INR,Twitterwire,1,"Water - Mineral, Natural",3,566,1698,20,2037.6
CC4444,05-Oct-2020,76,INR,Twinte,1,Sobe - Cranberry Grapefruit,5,1115,5575,20,6690
BC4334,27-Oct-2020,52,INR,Oyondu,1,Quail - Jumbo Boneless,3,1538,4614,20,5536.8
CC2234,16-Mar-2020,65,INR,Photobug,1,Propel Sport Drink,2,1394,2788,20,3345.6
AC3241,31-Aug-2020,81,INR,Npath,1,Rice Paper,5,2581,12905,20,15486
CC4414,05-Oct-2020,40,INR,Vinder,1,Kiwi,5,2093,10465,20,12558
BC4443,30-May-2020,43,INR,Mynte,1,Lamb - Shanks,4,2281,9124,20,10948.8
CC3343,13-May-2020,78,INR,Rhyloo,1,Stock - Fish,8,412,3296,20,3955.2
CB4441,04-Feb-2021,49,INR,Mynte,1,Pastry - Baked Cinnamon Stick,5,596,2980,20,3576
AA4423,18-Sep-2020,10,INR,Avamm,1,Skirt - 24 Foot,4,1974,7896,20,9475.2
CB4444,06-Feb-2020,46,INR,Eire,1,Nantucket - Orange Mango Cktl,9,2517,22653,20,27183.6
BC4144,22-Apr-2020,21,INR,Brightdog,1,Ginsing - Fresh,1,2454,2454,20,2944.8
CA3434,01-May-2020,25,INR,Bubbletube,1,Yokaline,3,2851,8553,20,10263.6
CC3444,10-Nov-2020,10,INR,Gevee,1,Muffin Batt - Carrot Spice,4,2069,8276,20,9931.2
AC4444,26-Jan-2021,66,INR,Edgewire,1,Cup - 4oz Translucent,3,1197,3591,20,4309.2
CC4444,19-Jan-2020,51,INR,Rhyloo,1,Bagel - Everything Presliced,7,1346,9422,20,11306.4
BA1331,31-Jan-2021,64,INR,Eazzy,1,"Yogurt - Raspberry, 175 Gr",9,2980,26820,20,32184
CB3124,29-Nov-2020,23,INR,Realmix,1,Wine - Ej Gallo Sierra Valley,5,2522,12610,20,15132
CA2241,16-Feb-2020,20,INR,Lajo,1,Ostrich - Fan Fillet,4,2593,10372,20,12446.4
BC4443,25-May-2020,30,INR,Devpulse,1,Glass - Juice Clear 5oz 55005,5,2334,11670,20,14004
BA4321,09-Feb-2020,77,INR,Devpoint,1,Plasticknivesblack,4,837,3348,20,4017.6
CA3432,01-Jul-2020,22,INR,Quinu,1,Icecream Bar - Del Monte,7,2252,15764,20,18916.8
BA2434,03-Aug-2020,84,INR,Chatterbridge,1,Asparagus - Frozen,9,513,4617,20,5540.4
CA4143,15-Aug-2020,46,INR,Yodo,1,Chocolate - Sugar Free Semi Choc,1,699,699,20,838.8
BB4444,10-Mar-2021,89,INR,Fiveclub,1,Duck - Whole,4,1598,6392,20,7670.4
BB4434,05-Aug-2020,34,INR,Tambee,1,Towel - Roll White,2,1215,2430,20,2916
AB2141,22-Dec-2020,24,INR,Gevee,1,Crab - Soft Shell,9,1388,12492,20,14990.4
CB4324,03-Mar-2020,70,INR,Yodoo,1,Vaccum Bag 10x13,1,1842,1842,20,2210.4
CB4442,12-Mar-2021,27,INR,Fivechat,1,Zucchini - Yellow,4,2555,10220,20,12264
CB3424,18-Mar-2020,28,INR,Brightbean,1,External Supplier,1,2098,2098,20,2517.6
CC1344,10-Mar-2020,39,INR,Einti,1,Red Cod Fillets - 225g,1,657,657,20,788.4
AB4144,08-Mar-2021,17,INR,Dabshots,1,"Chocolate - Pistoles, White",2,362,724,20,868.8
BC4414,29-Sep-2020,81,INR,Flashspan,1,Cheese - Le Cru Du Clocher,3,2814,8442,20,10130.4
AB4234,27-Jun-2020,66,INR,Browsecat,1,Versatainer Nc - 8288,4,475,1900,20,2280
CC4444,13-Oct-2020,63,INR,Zoonder,1,Syrup - Monin - Blue Curacao,4,1777,7108,20,8529.6
CC3244,25-Jan-2021,7,INR,Roodel,1,Wine - Blue Nun Qualitatswein,1,901,901,20,1081.2
CA3344,26-Mar-2021,80,INR,Dabvine,1,Mix - Cocktail Strawberry Daiquiri,2,1570,3140,20,3768
CC1413,14-Mar-2020,81,INR,Topiczoom,1,Onions - Spanish,9,410,3690,20,4428
AB3414,19-Sep-2020,22,INR,Jabbertype,1,Barley - Pearl,6,1568,9408,20,11289.6
CA1331,02-Oct-2020,90,INR,Edgetag,1,"Ice - Clear, 300 Lb For Carving",2,1837,3674,20,4408.8
CC1444,02-Jan-2020,88,INR,Oyope,1,Laundry - Bag Cloth,3,1237,3711,20,4453.2
BC3343,07-Jan-2021,54,INR,Meetz,1,Beef Wellington,9,603,5427,20,6512.4
CC2233,14-Apr-2020,64,INR,Chatterbridge,1,"Nut - Peanut, Roasted",3,636,1908,20,2289.6
BA2241,16-Jan-2021,44,INR,Twitterworks,1,Bandage - Flexible Neon,3,268,804,20,964.8
CA4344,19-Jul-2020,59,INR,Yozio,1,Cocoa Powder - Natural,10,2365,23650,20,28380
CB4322,22-Jan-2021,34,INR,Skyndu,1,Nantucket - Kiwi Berry Cktl.,10,2800,28000,20,33600
CA4444,29-Jan-2021,79,INR,Mita,1,"Beans - Navy, Dry",10,785,7850,20,9420
AC4133,27-Jun-2020,33,INR,DabZ,1,Mints - Striped Red,6,840,5040,20,6048
CC4342,23-May-2020,36,INR,Aibox,1,Beef - Ground Medium,10,2298,22980,20,27576
BC4244,17-Mar-2020,61,INR,Oyoloo,1,Cabbage Roll,4,517,2068,20,2481.6
AB4434,11-Jul-2020,31,INR,Wikizz,1,Tea - Grapefruit Green Tea,4,2298,9192,20,11030.4
BC3443,21-Jun-2020,79,INR,Zoovu,1,Sugar - Brown,6,2017,12102,20,14522.4
AC1432,17-Jan-2020,23,INR,Wikivu,1,Nescafe - Frothy French Vanilla,2,421,842,20,1010.4
CA1344,17-Oct-2020,53,INR,Jazzy,1,Chinese Foods - Plain Fried Rice,7,1530,10710,20,12852
AC4331,06-Oct-2020,64,INR,Brainsphere,1,"Wine - White, Concha Y Toro",2,2183,4366,20,5239.2
AB3424,23-Jan-2020,16,INR,Tazz,1,"Tart Shells - Savory, 3",10,1315,13150,20,15780
BC4344,14-Sep-2020,78,INR,Jabbercube,1,Baking Powder,9,1837,16533,20,19839.6
BB2441,31-Oct-2020,80,INR,Skidoo,1,Instant Coffee,9,2990,26910,20,32292
CC1434,27-Feb-2020,41,INR,Browsezoom,1,"Wine - White, Antinore Orvieto",3,1909,5727,20,6872.4
CB1444,09-Oct-2020,80,INR,Brightdog,1,Wine - Lamancha Do Crianza,3,2252,6756,20,8107.2
CC4113,19-Jan-2020,13,INR,Babbleopia,1,"Beans - Navy, Dry",5,1992,9960,20,11952
AA1412,13-Apr-2020,58,INR,Skyndu,1,Paste - Black Olive,5,671,3355,20,4026
AB4334,08-Feb-2021,74,INR,Meevee,1,"Split Peas - Green, Dry",5,2224,11120,20,13344
BA2414,14-Feb-2021,7,INR,Kazu,1,Garam Masala Powder,6,2202,13212,20,15854.4
CB4441,30-Nov-2020,17,INR,Skiba,1,Cocoa Feuilletine,4,2063,8252,20,9902.4
CB3411,08-May-2020,66,INR,Browsecat,1,Muffin Mix - Carrot,2,2679,5358,20,6429.6
BB4442,15-Feb-2021,37,INR,Voonte,1,"Crab - Back Fin Meat, Canned",1,1065,1065,20,1278
BC4343,02-Jun-2020,44,INR,Reallinks,1,Syrup - Kahlua Chocolate,4,1699,6796,20,8155.2
CB4314,05-Oct-2020,32,INR,Twitterbridge,1,Sweet Pea Sprouts,4,765,3060,20,3672
BB4344,04-Jan-2021,67,INR,Fatz,1,Glove - Cutting,5,469,2345,20,2814
AC2314,28-Feb-2020,62,INR,Twinder,1,"Bar Mix - Pina Colada, 355 Ml",9,639,5751,20,6901.2
BC2441,08-Jan-2021,70,INR,Rhynyx,1,Oats Large Flake,3,2885,8655,20,10386
CA2442,26-Apr-2020,9,INR,Oyope,1,"Bread - Multigrain, Loaf",7,474,3318,20,3981.6
CC1314,12-Jan-2021,65,INR,Skimia,1,Carbonated Water - White Grape,3,2057,6171,20,7405.2
CA4243,02-Apr-2020,85,INR,Wikizz,1,"Stock - Veal, White",7,1871,13097,20,15716.4
BC4414,20-Jul-2020,69,INR,Youtags,1,"Plate - Foam, Bread And Butter",2,739,1478,20,1773.6
CC4434,20-Feb-2021,70,INR,Zoonoodle,1,"Lobster - Tail, 3 - 4 Oz",2,365,730,20,876
CC1244,10-Mar-2020,13,INR,Realcube,1,"Wine - White, Lindemans Bin 95",6,240,1440,20,1728
CA4441,04-Aug-2020,74,INR,Livetube,1,Flavouring - Rum,3,1730,5190,20,6228
BC2344,09-Aug-2020,69,INR,Skiptube,1,Bagel - Everything,4,1218,4872,20,5846.4
CC1434,19-Feb-2020,35,INR,Linkbuzz,1,Carbonated Water - Raspberry,9,1422,12798,20,15357.6
CC4444,01-Feb-2020,72,INR,LiveZ,1,Cake - Sheet Strawberry,6,1646,9876,20,11851.2
BA2443,03-Mar-2021,73,INR,Youspan,1,"Soup - Clam Chowder, Dry Mix",4,714,2856,20,3427.2
BB1344,12-Aug-2020,45,INR,Yadel,1,Beans - Kidney White,4,901,3604,20,4324.8
BA4244,03-Nov-2020,75,INR,Shufflebeat,1,Wine - Jafflin Bourgongone,1,761,761,20,913.2
AC4412,26-Feb-2020,80,INR,Vidoo,1,Wine - Cotes Du Rhone Parallele,8,396,3168,20,3801.6
CB4343,14-Jul-2020,14,INR,Aivee,1,Beets,4,447,1788,20,2145.6
CC4424,22-May-2020,30,INR,Kimia,1,Cheese - Le Cru Du Clocher,3,594,1782,20,2138.4
AB4223,26-Oct-2020,87,INR,Izio,1,Chocolate - Semi Sweet,4,1951,7804,20,9364.8
BA4144,05-May-2020,27,INR,InnoZ,1,Emulsifier,6,2955,17730,20,21276
BA1124,23-Oct-2020,23,INR,Quinu,1,Cheese - Victor Et Berthold,2,2438,4876,20,5851.2
CC3243,17-Feb-2020,81,INR,Trilia,1,Dragon Fruit,5,2463,12315,20,14778
CB4344,12-Oct-2020,85,INR,Voonix,1,"Cheese - Brie, Triple Creme",3,1655,4965,20,5958
BC3132,12-Mar-2021,16,INR,Gabcube,1,Cheese Cloth No 100,5,2508,12540,20,15048
BB2414,01-May-2020,8,INR,Buzzbean,1,Wine - Blue Nun Qualitatswein,8,643,5144,20,6172.8
AA4344,19-Jul-2020,57,INR,Skinix,1,Bread - Triangle White,10,1450,14500,20,17400
CC4334,30-Oct-2020,66,INR,Flipstorm,1,The Pop Shoppe - Black Cherry,10,2766,27660,20,33192
AC4423,20-Sep-2020,72,INR,Wikizz,1,Corn Shoots,8,2790,22320,20,26784
AC4431,08-Jul-2020,75,INR,Blogspan,1,"Vodka - Hot, Lnferno",5,2473,12365,20,14838
CA2331,25-Feb-2021,40,INR,Jaxworks,1,Pastry - French Mini Assorted,3,1509,4527,20,5432.4
AA4443,10-Sep-2020,64,INR,Zooveo,1,"Octopus - Baby, Cleaned",1,690,690,20,828
CC3343,26-May-2020,14,INR,Rhyzio,1,"Wine - Magnotta, White",5,444,2220,20,2664
CC4414,05-Nov-2020,74,INR,Wikibox,1,Tandoori Curry Paste,5,1425,7125,20,8550
AC3433,09-Sep-2020,78,INR,Twiyo,1,"Chilli Paste, Sambal Oelek",5,2568,12840,20,15408
CB3444,12-Mar-2020,74,INR,Jaloo,1,Lettuce - Boston Bib - Organic,1,1557,1557,20,1868.4
CB1444,28-Mar-2020,64,INR,Ozu,1,Lettuce - Spring Mix,9,274,2466,20,2959.2
BC3432,06-Jun-2020,90,INR,Muxo,1,Muffin Orange Individual,2,2919,5838,20,7005.6
BC2414,12-Mar-2021,54,INR,Wordpedia,1,"Split Peas - Green, Dry",3,2847,8541,20,10249.2
CA3144,28-May-2020,58,INR,Thoughtbeat,1,Tobasco Sauce,10,1232,12320,20,14784
AA1143,14-Aug-2020,31,INR,Photolist,1,Mackerel Whole Fresh,3,2453,7359,20,8830.8
AC4341,19-Jul-2020,67,INR,Meeveo,1,Onions - Cippolini,4,388,1552,20,1862.4
CB3444,07-Dec-2020,54,INR,Meeveo,1,Carbonated Water - Strawberry,1,820,820,20,984
AC4434,26-Dec-2020,11,INR,Devpoint,1,"Tabasco Sauce, 2 Oz",3,1955,5865,20,7038
CC4424,04-Dec-2020,88,INR,Kare,1,Tea - Apple Green Tea,1,2458,2458,20,2949.6
BB3443,26-Dec-2020,11,INR,Wordpedia,1,Mushroom Morel Fresh,7,519,3633,20,4359.6
BC2444,06-Jan-2021,75,INR,Youspan,1,"Tomatoes - Diced, Canned",5,772,3860,20,4632
CC1434,17-Dec-2020,83,INR,Voonder,1,Basil - Thai,4,291,1164,20,1396.8
CC4431,26-Feb-2021,37,INR,Agimba,1,Ham - Virginia,8,1672,13376,20,16051.2
CC3244,09-Oct-2020,62,INR,Jayo,1,Sauce - Alfredo,7,994,6958,20,8349.6
CA4142,10-Feb-2021,23,INR,Twitterbeat,1,Caviar - Salmon,5,2447,12235,20,14682
CC2321,30-Mar-2020,85,INR,Layo,1,"Bread - Sticks, Thin, Plain",6,2478,14868,20,17841.6
BC3344,14-Jan-2020,85,INR,Babbleset,1,Sausage - Blood Pudding,2,2992,5984,20,7180.8
CC4444,28-Mar-2020,12,INR,BlogXS,1,Soap - Pine Sol Floor Cleaner,8,364,2912,20,3494.4
CA3313,09-Aug-2020,69,INR,Trilith,1,Sansho Powder,3,2219,6657,20,7988.4
AC4122,03-Aug-2020,79,INR,Yodoo,1,Muffin - Blueberry Individual,8,1964,15712,20,18854.4
AC4334,14-Apr-2020,15,INR,Zoombox,1,Cheese - Camembert,4,2660,10640,20,12768
CA4434,23-Jan-2021,9,INR,Gigaclub,1,Broccoli - Fresh,2,497,994,20,1192.8
CA4144,03-Mar-2021,49,INR,Jabbercube,1,"Mushroom - Chanterelle, Dry",7,1518,10626,20,12751.2
BC4444,24-Nov-2020,41,INR,Feednation,1,Sauerkraut,1,2693,2693,20,3231.6
CC4444,27-Mar-2021,42,INR,Skajo,1,Pepper - Red Chili,9,1325,11925,20,14310
AC1234,10-Jun-2020,90,INR,Photolist,1,Venison - Racks Frenched,3,1266,3798,20,4557.6
AB4433,31-Dec-2020,18,INR,Avamba,1,"Pasta - Lasagne, Fresh",9,580,5220,20,6264
AA1343,06-Nov-2020,40,INR,Skajo,1,"Pasta - Penne, Rigate, Dry",4,519,2076,20,2491.2
AC4213,14-Feb-2021,18,INR,Meevee,1,Sansho Powder,7,546,3822,20,4586.4
CA4444,10-Sep-2020,27,INR,Dynabox,1,Salt - Seasoned,1,1641,1641,20,1969.2
CC1431,04-Feb-2021,17,INR,Devpoint,1,Wine - Red Oakridge Merlot,7,897,6279,20,7534.8
BA4343,03-Feb-2020,27,INR,Gabvine,1,Bandage - Flexible Neon,7,1447,10129,20,12154.8
BC3443,12-Aug-2020,66,INR,Browsetype,1,"Cheese - Brie, Triple Creme",9,1225,11025,20,13230
CC4443,05-Jan-2021,87,INR,Kazio,1,"Croissant, Raw - Mini",3,1228,3684,20,4420.8
CB4443,19-Jan-2020,18,INR,LiveZ,1,Scampi Tail,10,2309,23090,20,27708
CC4434,20-Dec-2020,29,INR,Jayo,1,Country Roll,9,1771,15939,20,19126.8
CB4414,10-Nov-2020,58,INR,Centimia,1,Lotus Rootlets - Canned,5,877,4385,20,5262
AB4412,02-Feb-2020,80,INR,Yambee,1,"Mushroom - Chanterelle, Dry",10,1334,13340,20,16008
BC4443,30-Sep-2020,58,INR,DabZ,1,"Beef - Rouladin, Sliced",5,2247,11235,20,13482
CC4421,28-Jun-2020,46,INR,Yamia,1,Peas - Frozen,1,850,850,20,1020
CC4432,04-Feb-2020,78,INR,Leexo,1,"Oranges - Navel, 72",4,1457,5828,20,6993.6
CC3443,03-Nov-2020,35,INR,Edgeclub,1,Sobe - Green Tea,7,1606,11242,20,13490.4
AC1341,12-Jan-2020,18,INR,Realmix,1,Shrimp - Prawn,10,685,6850,20,8220
CB4414,28-Nov-2020,48,INR,Jaxworks,1,Shrimp - Black Tiger 16/20,6,960,5760,20,6912
CB3323,20-Nov-2020,18,INR,Oba,1,Pork - Caul Fat,3,296,888,20,1065.6
AC4444,18-Apr-2020,20,INR,Dynazzy,1,Beer - Paulaner Hefeweisse,8,937,7496,20,8995.2
CB4324,23-Jul-2020,14,INR,Quinu,1,Water - Spring 1.5lit,4,626,2504,20,3004.8
CC4433,01-Apr-2020,44,INR,Oozz,1,Cabbage - Red,8,2178,17424,20,20908.8
BC4344,28-Jan-2020,30,INR,Mybuzz,1,Table Cloth 81x81 Colour,3,1337,4011,20,4813.2
CC3434,16-Aug-2020,90,INR,Trudoo,1,Tuna - Yellowfin,6,1380,8280,20,9936
BA4234,14-Dec-2020,66,INR,Skilith,1,Bread - 10 Grain Parisian,3,1391,4173,20,5007.6
AB3134,27-Sep-2020,58,INR,Voolia,1,Lettuce - Lambs Mash,5,1956,9780,20,11736
BC4341,21-Jul-2020,82,INR,Linklinks,1,Truffle Shells - White Chocolate,8,566,4528,20,5433.6
BC3313,08-Feb-2021,46,INR,Plajo,1,Sproutsmustard Cress,10,2871,28710,20,34452
CA4413,01-Oct-2020,15,INR,Skivee,1,Shiratamako - Rice Flour,10,2881,28810,20,34572
AB1334,28-Sep-2020,75,INR,Katz,1,Pastry - Apple Large,10,892,8920,20,10704
AC3444,24-Dec-2020,53,INR,Minyx,1,Ecolab Crystal Fusion,1,2715,2715,20,3258
CB2444,13-Jan-2021,19,INR,Mymm,1,Food Colouring - Pink,2,1713,3426,20,4111.2
CC2314,25-Jan-2020,65,INR,Chatterpoint,1,"Wine - Bourgogne 2002, La",1,2277,2277,20,2732.4
CC4133,13-Feb-2021,38,INR,Agimba,1,Maintenance Removal Charge,4,2740,10960,20,13152
CA4424,11-Jan-2021,89,INR,Yadel,1,Onions - Vidalia,10,1363,13630,20,16356
CC1331,10-Oct-2020,18,INR,Dablist,1,Assorted Desserts,7,2187,15309,20,18370.8
BA2443,23-Dec-2020,76,INR,Skimia,1,Foil - 4oz Custard Cup,10,1007,10070,20,12084
CA4342,10-Jan-2021,17,INR,Oyoloo,1,"Tart Shells - Savory, 3",8,1150,9200,20,11040
BB3443,07-Oct-2020,45,INR,Riffpath,1,Pur Source,5,2353,11765,20,14118
BC4111,06-Feb-2021,11,INR,Mynte,1,"Squash - Pattypan, Yellow",4,1197,4788,20,5745.6
CC1434,12-Feb-2020,17,INR,Ainyx,1,"Nestea - Ice Tea, Diet",4,2283,9132,20,10958.4
CA4131,14-Dec-2020,7,INR,Wikido,1,Sour Puss Sour Apple,3,1664,4992,20,5990.4
CC4344,02-Aug-2020,58,INR,Quaxo,1,Sorrel - Fresh,7,2930,20510,20,24612
AB3414,05-Apr-2020,87,INR,Camido,1,Cocoa Butter,4,1151,4604,20,5524.8
BA2233,24-Jan-2020,67,INR,Brainsphere,1,Sambuca - Ramazzotti,9,1535,13815,20,16578
BB3143,10-Dec-2020,55,INR,Trudoo,1,"Salmon - Atlantic, Fresh, Whole",9,2939,26451,20,31741.2
